Canada	123873.0	383.0	9054.0	5.0	110288.0	4531.0	61.0	3278.0	240.0	4974215.0	131636.0	3.7787666E7	7.59%	37.0	26.0	76.0	34.0	NULL	NULL	Canada	123873.00	383	9054.00	5	110288.00	4531.00	61	3278.00	240	4974215.00	131636.00	37787666	7.59%	37	26	76	34
Caribbean Netherlands	13.0	NULL	NULL	NULL	7.0	6.0	NULL	495.0	NULL	424.0	16149.0	26256.0		136.0	NULL	151.0	NULL	NULL	NULL	Caribbean Netherlands	13				7	6		495		424	16149.00	26256		136		151	
Cayman Islands	205.0	NULL	1.0	NULL	202.0	2.0	NULL	3114.0	15.0	33978.0	516171.0	65827.0	0.49%	11.0	125.0	78.0	187.0	NULL	NULL	Cayman Islands	205		1		202	2		3114.00	15	33978.00	516171.00	65827	0.49%	11	125	78	187
Chad	972.0	1.0	76.0	NULL	869.0	27.0	NULL	59.0	5.0	NULL	NULL	1.6486068E7	8.04%	NULL	155.0	199.0	30.0	NULL	NULL	Chad	972	1	76		869	27		59	5			16486068	8.04%		155	199	30
Channel Islands	613.0	NULL	48.0	NULL	545.0	20.0	NULL	3521.0	276.0	68985.0	396276.0	174083.0	8.09%	12.0	23.0	69.0	29.0	NULL	NULL	Channel Islands	613		48		545	20		3521.00	276	68985.00	396276.00	174083	8.09%	12	23	69	29
Chile	391849.0	1812.0	10671.0	93.0	366063.0	15115.0	1077.0	20474.0	558.0	2113632.0	110437.0	1.9138783E7	2.83%	48.0	9.0	5.0	110.0	NULL	NULL	Chile	391849.00	1812.00	10671.00	93	366063.00	15115.00	1077.00	20474.00	558	2113632.00	110437.00	19138783	2.83%	48	9	5	110
China	84895.0	7.0	4634.0	NULL	79745.0	516.0	24.0	59.0	3.0	9.041E7	62814.0	1.439323776E9	5.49%	77.0	169.0	199.0	52.0	NULL	NULL	China	84895.00	7	4634.00		79745.00	516	24	59	3	90410000.00	62814.00	1439323776	5.49%	77	169	199	52
Colombia	513719.0	11541.0	16183.0	204.0	339124.0	158412.0	1493.0	10081.0	318.0	2374898.0	46606.0	5.0956995E7	4.55%	91.0	20.0	21.0	65.0	NULL	NULL	Colombia	513719.00	11541.00	16183.00	204	339124.00	158412.00	1493.00	10081.00	318	2374898.00	46606.00	50956995	4.55%	91	20	21	65
Comoros	417.0	11.0	7.0	NULL	396.0	14.0	NULL	478.0	8.0	NULL	NULL	872036.0	1.74%	NULL	141.0	152.0	149.0	NULL	NULL	Comoros	417	11	7		396	14		478	8			872036	1.74%		141	152	149
Congo	3850.0	NULL	77.0	NULL	1625.0	2148.0	NULL	695.0	14.0	NULL	NULL	5535717.0	4.52%	NULL	128.0	136.0	67.0	NULL	NULL	Congo	3850.00		77		1625.00	2148.00		695	14			5535717	4.52%		128	136	67
Costa Rica	31075.0	666.0	333.0	12.0	9939.0	20803.0	128.0	6093.0	65.0	126337.0	24769.0	5100508.0	3.24%	121.0	69.0	41.0	94.0	NULL	NULL	Costa Rica	31075.00	666	333	12	9939.00	20803.00	128	6093.00	65	126337.00	24769.00	5100508	3.24%	121	69	41	94
Croatia	7329.0	255.0	168.0	NULL	5472.0	1689.0	13.0	1787.0	41.0	144521.0	35235.0	4101613.0	2.98%	107.0	86.0	94.0	103.0	NULL	NULL	Croatia	7329.00	255	168		5472.00	1689.00	13	1787.00	41	144521.00	35235.00	4101613	2.98%	107	86	94	103
Cuba	3565.0	83.0	88.0	NULL	2894.0	583.0	3.0	315.0	8.0	346439.0	30589.0	1.1325635E7	2.95%	115.0	141.0	164.0	106.0	NULL	NULL	Cuba	3565.00	83	88		2894.00	583	3	315	8	346439.00	30589.00	11325635	2.95%	115	141	164	106
Curaça	36.0	NULL	1.0	NULL	31.0	4.0	NULL	219.0	6.0	1080.0	6578.0	164187.0	3.13%	165.0	148.0	176.0	99.0	NULL	NULL	Curaça	36		1		31	4		219	6	1080.00	6578.00	164187	3.13%	165	148	176	99
Cyprus	1395.0	10.0	20.0	NULL	878.0	497.0	5.0	1154.0	17.0	263943.0	218392.0	1208574.0	2.23%	21.0	118.0	113.0	133.0	NULL	NULL	Cyprus	1395.00	10	20		878	497	5	1154.00	17	263943.00	218392.00	1208574	2.23%	21	118	113	133
Czechia	21045.0	247.0	406.0	2.0	15886.0	4753.0	24.0	1965.0	38.0	820151.0	76565.0	1.0711777E7	2.49%	64.0	88.0	91.0	120.0	NULL	NULL	Czechia	21045.00	247	406	2	15886.00	4753.00	24	1965.00	38	820151.00	76565.00	10711777	2.49%	64	88	91	120
DRC	9757.0	16.0	247.0	1.0	8895.0	615.0	NULL	109.0	3.0	NULL	NULL	8.9906805E7	2.70%	NULL	169.0	190.0	114.0	NULL	NULL	DRC	9757.00	16	247	1	8895.00	615		109	3			89906805	2.70%		169	190	114
Denmark	16056.0	116.0	621.0	NULL	13769.0	1666.0	1.0	2771.0	107.0	2075156.0	358091.0	5795057.0	4.32%	14.0	50.0	81.0	77.0	NULL	NULL	Denmark	16056.00	116	621		13769.00	1666.00	1	2771.00	107	2075156.00	358091.00	5795057	4.32%	14	50	81	77
Diamond Princess	712.0	NULL	13.0	NULL	651.0	48.0	4.0	NULL	NULL	NULL	NULL	NULL	1.96%	NULL	NULL	NULL	142.0	NULL	NULL	Diamond Princess	712		13		651	48	4						1.96%				142
Djibouti	5374.0	NULL	59.0	NULL	5216.0	99.0	NULL	5429.0	60.0	63471.0	64116.0	989936.0	1.12%	73.0	72.0	48.0	166.0	NULL	NULL	Djibouti	5374.00		59		5216.00	99		5429.00	60	63471.00	64116.00	989936	1.12%	73	72	48	166
Dominica	18.0	NULL	NULL	NULL	18.0	0.0	NULL	250.0	NULL	1646.0	22858.0	72011.0		126.0	NULL	171.0	NULL	NULL	NULL	Dominica	18				18	0		250		1646.00	22858.00	72011		126		171	
Dominican Republic	89010.0	883.0	1505.0	4.0	57734.0	29771.0	288.0	8194.0	139.0	335478.0	30883.0	1.0862806E7	2.54%	114.0	43.0	28.0	116.0	NULL	NULL	Dominican Republic	89010.00	883	1505.00	4	57734.00	29771.00	288	8194.00	139	335478.00	30883.00	10862806	2.54%	114	43	28	116
Ecuador	105508.0	1033.0	6200.0	54.0	87660.0	11648.0	331.0	5968.0	351.0	297376.0	16821.0	1.7679078E7	6.61%	134.0	19.0	44.0	40.0	NULL	NULL	Ecuador	105508.00	1033.00	6200.00	54	87660.00	11648.00	331	5968.00	351	297376.00	16821.00	17679078	6.61%	134	19	44	40
Egypt	97025.0	111.0	5212.0	15.0	63462.0	28351.0	41.0	946.0	51.0	135000.0	1316.0	1.02590466E8	7.59%	189.0	78.0	124.0	33.0	NULL	NULL	Egypt	97025.00	111	5212.00	15	63462.00	28351.00	41	946	51	135000.00	1316.00	102590466	7.59%	189	78	124	33
El Salvador	23964.0	247.0	640.0	7.0	11558.0	11766.0	391.0	3692.0	99.0	288307.0	44418.0	6490763.0	5.25%	96.0	55.0	66.0	57.0	NULL	NULL	El Salvador	23964.00	247	640	7	11558.00	11766.00	391	3692.00	99	288307.00	44418.00	6490763	5.25%	96	55	66	57
