country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
Philippines,177579,3896,2881,86,113903,60795,717,1618,26,2193448,19981,109778515,2.47%,129,101,99,124,109,115,Philippines
Poland,59378,767,1925,12,40481,16972,85,1569,51,2409394,63672,37840722,4.54%,74,78,101,66,137,107,Poland
Portugal,54992,291,1788,2,40264,12940,39,5395,175,1880235,184473,10192461,4.25%,26,34,49,80,141,132,Portugal
Qatar,116224,268,193,NULL,112924,3107,64,41393,69,572273,203815,2807805,0.17%,23,65,1,191,136,50,Qatar
Romania,74963,1346,3154,48,34196,37613,489,3900,164,1591015,82783,19219141,8.44%,60,35,61,28,99,147,Romania
Russia,942106,4785,16099,110,755513,170494,2300,6455,110,33500000,229541,145943309,2.09%,17,49,39,140,152,95,Russia
Rwanda,2717,73,11,1,1705,1001,NULL,209,0.8,351383,27042,12993865,0.64%,118,180,179,182,179,82,Rwanda
Réunio,996,51,5,NULL,657,334,3,1111,6,35419,39521,896196,0.76%,104,148,115,176,71,80,Réunio
S. Korea,16346,288,307,1,14063,1976,12,319,6,1734083,33819,51275415,2.14%,111,148,162,137,101,138,S. Korea
Saint Kitts and Nevis,17,NULL,NULL,NULL,17,0,NULL,319,NULL,1385,26009,53251,,120,NULL,162,NULL,193,159,Saint Kitts and Nevis
Saint Lucia,26,NULL,NULL,NULL,25,1,NULL,142,NULL,4946,26918,183744,,119,NULL,186,NULL,193,58,Saint Lucia
Saint Martin,121,NULL,5,NULL,49,67,1,3122,129,2449,63193,38754,9.26%,76,44,77,27,71,106,Saint Martin
Saint Pierre Miquelon,5,NULL,NULL,NULL,1,4,NULL,864,NULL,NULL,NULL,5790,,NULL,NULL,128,NULL,193,196,Saint Pierre Miquelon
